,name,description,ingredients,notes
10,Cao Lầu,"Cao lầu Hội An có sợi mì dai, thịt xá xíu, rau sống và nước sốt đậm đà.","mì cao lầu, thịt xá xíu, giá đỗ, rau sống, bánh đa chiên, nước sốt","Món thường dùng với lượng nước sốt vừa phải."
11,Hủ Tiếu Nam Vang,"Hủ tiếu Nam Vang có nước dùng trong, vị ngọt thanh và nhiều topping thịt, tôm.","hủ tiếu, thịt heo, tôm, trứng cút, gan heo, giá đỗ, hẹ","Có thể chọn dùng nước hoặc hủ tiếu khô."
12,Bánh Xèo,"Bánh xèo vàng giòn được đổ mỏng, có nhân tôm thịt và giá, cuốn rau rồi chấm nước mắm.","bột gạo, nước cốt dừa, nghệ, tôm, thịt heo, giá đỗ, rau sống","Nên ăn ngay sau khi đổ để giữ độ giòn."
13,Bánh Cuốn,"Bánh cuốn là lớp bột gạo mỏng cuộn nhân thịt băm và mộc nhĩ, ăn với nước chấm.","bột gạo, thịt heo băm, mộc nhĩ, hành phi, chả lụa, nước mắm","Thường dùng nóng cùng hành phi."
14,Bánh Bèo,"Bánh bèo chén miền Trung mềm mịn, phủ tôm chấy và mỡ hành.","bột gạo, tôm chấy, mỡ hành, bánh mì chiên, nước mắm","Dùng thìa nhỏ để ăn từng chén."
15,Bánh Khọt,"Bánh khọt là bánh bột gạo nhỏ, mặt giòn, thường có tôm và hành lá.","bột gạo, nước cốt dừa, tôm, hành lá, rau sống, nước mắm","Ăn kèm rau sống và nước mắm chua ngọt."
16,Chả Cá Lã Vọng,"Chả cá Lã Vọng dùng cá ướp nghệ nướng hoặc áp chảo với thì là và hành lá.","cá lăng hoặc cá trắng, nghệ, thì là, hành lá, bún, đậu phộng, mắm tôm","Thường dùng nóng trên chảo và ăn với bún."
17,Nem Rán,"Nem rán có vỏ bánh đa nem giòn, nhân thịt băm, miến và rau củ.","bánh đa nem, thịt heo băm, miến, mộc nhĩ, cà rốt, trứng, nước mắm","Dùng kèm rau sống và nước chấm chua ngọt."
18,Thịt Kho Tàu,"Thịt kho tàu là thịt ba chỉ kho cùng trứng trong nước dừa, có vị mặn ngọt.","thịt ba chỉ, trứng vịt hoặc trứng cút, nước dừa, nước mắm, đường","Thường ăn cùng cơm trắng và rau luộc."
19,Cá Kho Tộ,"Cá kho tộ được kho trong niêu đất với nước mắm, tiêu và nước màu.","cá basa hoặc cá lóc, nước mắm, đường, tiêu, hành, ớt","Món có vị đậm, hợp dùng cùng cơm trắng."
20,Canh Chua Cá,"Canh chua cá miền Nam có vị chua thanh, kết hợp cá và nhiều loại rau quả.","cá, me hoặc dứa, cà chua, bạc hà, giá đỗ, đậu bắp, rau ngổ","Dùng nóng, thường ăn cùng cơm và cá kho."
21,Cơm Gà Hội An,"Cơm gà Hội An có cơm nấu nghệ, thịt gà xé và rau trộn chua nhẹ.","gạo, thịt gà, nghệ, hành tây, rau răm, đu đủ xanh, nước mắm","Có thể dùng kèm nước luộc gà."
22,Xôi Xéo,"Xôi xéo là xôi nếp dẻo phủ đậu xanh giã, hành phi và mỡ hành.","gạo nếp, đậu xanh, hành khô, mỡ gà hoặc dầu, muối","Thường dùng vào bữa sáng; có thể ăn kèm chả hoặc ruốc."
23,Cháo Lòng,"Cháo lòng là cháo gạo nấu cùng nước luộc lòng, ăn với nội tạng heo và rau thơm.","gạo, lòng heo, tiết heo, hành lá, gừng, rau thơm","Thường ăn kèm quẩy và chấm nước mắm gừng."
24,Miến Gà,"Miến gà có nước dùng trong, thịt gà xé và miến dong mềm.","miến dong, thịt gà, nước dùng gà, nấm hương, hành lá, rau răm","Có thể chọn miến nước hoặc miến trộn."
25,Bò Kho,"Bò kho là món thịt bò hầm mềm với cà rốt và gia vị thơm, có nước sốt sánh.","thịt bò, cà rốt, sả, quế, hồi, nước dừa, bánh mì hoặc bún","Dùng cùng bánh mì, bún hoặc hủ tiếu."
26,Bánh Canh Cua,"Bánh canh cua có sợi bánh canh dày, nước dùng sánh và thịt cua.","bánh canh, cua, tôm, thịt heo, trứng cút, hành lá","Nước dùng có thể được làm sánh nhẹ bằng bột năng."
27,Cơm Hến,"Cơm hến Huế là cơm nguội trộn hến xào, rau thơm, đậu phộng và nước hến.","cơm, hến, rau thơm, bắp chuối, giá đỗ, đậu phộng, mắm ruốc","Có vị cay và mắm ruốc đặc trưng; có thể điều chỉnh ớt."
28,Bún Mắm,"Bún mắm miền Tây có nước dùng nấu từ mắm cá, kết hợp hải sản và rau.","bún, mắm cá, tôm, cá, mực, cà tím, rau muống, bông súng","Mùi mắm đặc trưng; nên dùng khi còn nóng."
29,Bún Cá,"Bún cá có nước dùng thanh, cá chiên hoặc cá hấp, thường thêm rau thì là.","bún, cá, cà chua, thì là, hành lá, rau cần","Cá có thể được chiên trước để thơm và không bị nát."
30,Gỏi Gà,"Gỏi gà là món trộn thanh mát từ thịt gà xé, bắp cải và rau thơm.","thịt gà, bắp cải, hành tây, rau răm, đậu phộng, chanh, nước mắm","Thường dùng làm món khai vị hoặc món ăn kèm."
31,Bánh Đa Cua,"Bánh đa cua Hải Phòng có sợi bánh đa đỏ, nước dùng cua và chả cá.","bánh đa đỏ, cua đồng, chả cá, tôm, rau muống, hành lá","Có thể thêm chả lá lốt hoặc thịt viên."
32,Ốc Bươu Nhồi Thịt,"Ốc bươu nhồi thịt được hấp cùng sả, có nhân thịt băm và ốc giòn dai.","ốc bươu, thịt heo băm, giò sống, mộc nhĩ, sả, lá gừng","Ăn nóng và chấm nước mắm gừng."
33,Chè Ba Màu,"Chè ba màu là món tráng miệng mát lạnh với đậu, thạch và nước cốt dừa.","đậu đỏ, đậu xanh, thạch, nước cốt dừa, đường, đá bào","Dùng lạnh; độ ngọt có thể điều chỉnh theo khẩu vị."

